Jobid	Jobname	Time1	Startime	Lock	energy	node1	nodo2	nodo3	nodo4	nodo5	nodo6	nodo7	nodo8	nodo9	nodo10	nodo11	nodo12	nodo13	nodo14	nodo15	nodo16
890100	IMeCOFT0_cp64_tnp64_ms5280_single_lbn_r1_W10_20231128_220503	2023-11-28 22:05:16	1701205507	D	0.00104	cresco6x167	cresco6x025														
890101	SPKFT0_cp64_tnp64_ms5280_single_lbn_r1_W10_20231128_220503	2023-11-28 22:05:51	1701205541	D	0.00045	cresco6x295	cresco6x319														
890102	IMeCOFT0_cp64_tnp64_ms5280_double_lbn_r1_W10_20231128_220503	2023-11-28 22:06:21	1701205571	D	0.00111	cresco6x203	cresco6x328														
890103	SPKFT0_cp64_tnp64_ms5280_double_lbn_r1_W10_20231128_220503	2023-11-28 22:06:57	1701205607	D	0.00052	cresco6x119	cresco6x340														
890112	IMeCOFT2_nf0_cp400_tnp440_ms31680_single_lbn_r1_W8_20231128_221708	2023-11-28 23:13:27	1701209597	D	0.14499	cresco6x119	cresco6x316	cresco6x061	cresco6x224	cresco6x285	cresco6x087	cresco6x319	cresco6x125	cresco6x225	cresco6x337						
889410	SPKFT2_nf0_cp400_tnp402_ms31680_single_lbn_r1_W8_20231128_101611	2023-11-28 23:28:24	1701210495	D	0.01750	cresco6x328	cresco6x025	cresco6x144	cresco6x196	cresco6x125	cresco6x248	cresco6x133	cresco6x167	cresco6x316							
889411	IMeCOFT2_nf2_cp400_tnp440_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:35:12	1701210903	D	0.17493	cresco6x144	cresco6x025	cresco6x248	cresco6x328	cresco6x133	cresco6x316	cresco6x108	cresco6x125	cresco6x119	cresco6x319						
889412	SPKFT2_nf2_cp400_tnp402_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:39:21	1701211152	D	0.01769	cresco6x133	cresco6x144	cresco6x025	cresco6x248	cresco6x125	cresco6x108	cresco6x316	cresco6x328	cresco6x119							
889413	IMeCOFT4_nf0_cp400_tnp480_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:40:17	1701211208	D	0.16188	cresco6x269	cresco6x119	cresco6x125	cresco6x316	cresco6x025	cresco6x328	cresco6x248	cresco6x108	cresco6x133	cresco6x144						
889414	SPKFT4_nf0_cp400_tnp404_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:44:02	1701211433	D	0.01688	cresco6x269	cresco6x248	cresco6x125	cresco6x025	cresco6x316	cresco6x119	cresco6x133	cresco6x328	cresco6x144							
889415	IMeCOFT4_nf4_cp400_tnp480_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:44:47	1701211478	D	0.16469	cresco6x108	cresco6x144	cresco6x119	cresco6x316	cresco6x125	cresco6x248	cresco6x133	cresco6x025	cresco6x328	cresco6x269						
889416	SPKFT4_nf4_cp400_tnp404_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:48:37	1701211707	D	0.01718	cresco6x248	cresco6x269	cresco6x025	cresco6x133	cresco6x144	cresco6x306	cresco6x225	cresco6x087	cresco6x224							
889417	IMeCOFT8_nf0_cp400_tnp560_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:49:32	1701211762	D	0.15993	cresco6x108	cresco6x307	cresco6x060	cresco6x097	cresco6x138	cresco6x289	cresco6x213	cresco6x146	cresco6x214	cresco6x206	cresco6x111	cresco6x048				
889418	SPKFT8_nf0_cp400_tnp408_ms31680_single_lbn_r1_W8_20231128_101612	2023-11-28 23:52:42	1701211953	D	0.01871	cresco6x131	cresco6x153	cresco6x192	cresco6x222	cresco6x140	cresco6x269	cresco6x087	cresco6x224	cresco6x248							
889419	IMeCOFT8_nf8_cp400_tnp560_ms31680_single_lbn_r1_W8_20231128_101613	2023-11-28 23:53:38	1701212008	D	0.17444	cresco6x144	cresco6x211	cresco6x025	cresco6x195	cresco6x225	cresco6x120	cresco6x196	cresco6x306	cresco6x133	cresco6x097	cresco6x048	cresco6x307				
889420	SPKFT8_nf8_cp400_tnp408_ms31680_single_lbn_r1_W8_20231128_101613	2023-11-28 23:56:57	1701212207	D	0.01550	cresco6x108	cresco6x140	cresco6x222	cresco6x269	cresco6x060	cresco6x224	cresco6x087	cresco6x248	cresco6x214							
889421	IMeCOFT0_cp400_tnp400_ms31680_double_lbn_r1_W8_20231128_101613	2023-11-28 23:57:48	1701212258	D	0.24820	cresco6x146	cresco6x153	cresco6x138	cresco6x289	cresco6x192	cresco6x111	cresco6x131	cresco6x213	cresco6x206							
889422	SPKFT0_cp400_tnp400_ms31680_double_lbn_r1_W8_20231128_101613	2023-11-29 00:04:07	1701212638	D	0.03365	cresco6x105	cresco6x144	cresco6x186	cresco6x025	cresco6x053	cresco6x211	cresco6x065	cresco6x222	cresco6x087							
889423	IMeCOFT1_nf0_cp400_tnp420_ms31680_double_lbn_r1_W8_20231128_101613	2023-11-29 00:05:22	1701212713	D	0.31793	cresco6x277	cresco6x295	cresco6x133	cresco6x248	cresco6x048	cresco6x119	cresco6x167	cresco6x108	cresco6x125							
889424	SPKFT1_nf0_cp400_tnp401_ms31680_double_lbn_r1_W8_20231128_101613	2023-11-29 00:13:14	1701213185	D	0.02844	cresco6x107	cresco6x285	cresco6x289	cresco6x316	cresco6x337	cresco6x195	cresco6x196	cresco6x025	cresco6x053							
889425	IMeCOFT1_nf1_cp400_tnp420_ms31680_double_lbn_r1_W8_20231128_101613	2023-11-29 00:14:24	1701213255	D	0.24879	cresco6x192	cresco6x211	cresco6x224	cresco6x078	cresco6x189	cresco6x111	cresco6x206	cresco6x153	cresco6x061							
889426	SPKFT1_nf1_cp400_tnp401_ms31680_double_lbn_r1_W8_20231128_101613	2023-11-29 00:20:29	1701213619	D	0.02915	cresco6x289	cresco6x122	cresco6x146	cresco6x196	cresco6x025	cresco6x053	cresco6x222	cresco6x074	cresco6x073							
889427	IMeCOFT2_nf0_cp400_tnp440_ms31680_double_lbn_r1_W8_20231128_101614	2023-11-29 00:21:40	1701213690	D	0.26455	cresco6x295	cresco6x097	cresco6x269	cresco6x119	cresco6x213	cresco6x296	cresco6x184	cresco6x267	cresco6x307	cresco6x316						
889428	SPKFT2_nf0_cp400_tnp402_ms31680_double_lbn_r1_W8_20231128_101614	2023-11-29 00:27:44	1701214054	D	0.02562	cresco6x289	cresco6x125	cresco6x133	cresco6x138	cresco6x145	cresco6x146	cresco6x306	cresco6x337	cresco6x340							
889429	IMeCOFT2_nf2_cp400_tnp440_ms31680_double_lbn_r1_W8_20231128_101614	2023-11-29 00:28:49	1701214120	D	0.27186	cresco6x196	cresco6x211	cresco6x060	cresco6x073	cresco6x111	cresco6x167	cresco6x025	cresco6x140	cresco6x203	cresco6x107						
889430	SPKFT2_nf2_cp400_tnp402_ms31680_double_lbn_r1_W8_20231128_101614	2023-11-29 00:35:06	1701214496	D	0.02688	cresco6x277	cresco6x108	cresco6x120	cresco6x138	cresco6x139	cresco6x316	cresco6x337	cresco6x189	cresco6x206							
889431	IMeCOFT4_nf0_cp400_tnp480_ms31680_double_lbn_r1_W8_20231128_101614	2023-11-29 00:36:13	1701214563	D	0.33880	cresco6x289	cresco6x145	cresco6x048	cresco6x053	cresco6x224	cresco6x097	cresco6x267	cresco6x119	cresco6x213	cresco6x248						
889432	SPKFT4_nf0_cp400_tnp404_ms31680_double_lbn_r1_W8_20231128_101614	2023-11-29 00:43:39	1701215010	D	0.02593	cresco6x277	cresco6x295	cresco6x120	cresco6x138	cresco6x184	cresco6x189	cresco6x340	cresco6x192	cresco6x025							
889433	IMeCOFT4_nf4_cp400_tnp480_ms31680_double_lbn_r1_W8_20231128_101614	2023-11-29 00:44:45	1701215076	D	0.28462	cresco6x279	cresco6x139	cresco6x337	cresco6x195	cresco6x033	cresco6x206	cresco6x061	cresco6x222	cresco6x269	cresco6x111						
889434	SPKFT4_nf4_cp400_tnp404_ms31680_double_lbn_r1_W8_20231128_101615	2023-11-29 00:50:58	1701215448	D	0.03373	cresco6x106	cresco6x107	cresco6x295	cresco6x144	cresco6x306	cresco6x307	cresco6x340	cresco6x192	cresco6x053							
889435	IMeCOFT8_nf0_cp400_tnp560_ms31680_double_lbn_r1_W8_20231128_101615	2023-11-29 00:52:13	1701215523	D	0.36388	cresco6x289	cresco6x133	cresco6x184	cresco6x186	cresco6x081	cresco6x248	cresco6x065	cresco6x097	cresco6x213	cresco6x108	cresco6x285	cresco6x119				
889436	SPKFT8_nf0_cp400_tnp408_ms31680_double_lbn_r1_W8_20231128_101615	2023-11-29 00:58:52	1701215922	D	0.02799	cresco6x145	cresco6x337	cresco6x025	cresco6x225	cresco6x074	cresco6x267	cresco6x111	cresco6x328	cresco6x269							
889437	IMeCOFT8_nf8_cp400_tnp560_ms31680_double_lbn_r1_W8_20231128_101615	2023-11-29 00:59:53	1701215983	D	0.33309	cresco6x279	cresco6x295	cresco6x122	cresco6x306	cresco6x033	cresco6x053	cresco6x078	cresco6x106	cresco6x105	cresco6x307	cresco6x195	cresco6x131				
889438	SPKFT8_nf8_cp400_tnp408_ms31680_double_lbn_r1_W8_20231128_101615	2023-11-29 01:06:06	1701216356	D	0.02790	cresco6x107	cresco6x289	cresco6x120	cresco6x186	cresco6x025	cresco6x222	cresco6x224	cresco6x074	cresco6x065							
889439	IMeCOFT0_cp400_tnp400_ms31680_single_lby_r1_W8_20231128_101615	2023-11-29 01:07:10	1701216421	D	0.13913	cresco6x328	cresco6x184	cresco6x048	cresco6x087	cresco6x189	cresco6x145	cresco6x213	cresco6x319	cresco6x090							
889440	SPKFT0_cp400_tnp400_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:10:47	1701216637	D	0.01608	cresco6x279	cresco6x119	cresco6x296	cresco6x120	cresco6x133	cresco6x306	cresco6x340	cresco6x060	cresco6x061							
889441	IMeCOFT1_nf0_cp400_tnp420_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:11:36	1701216687	D	0.11981	cresco6x131	cresco6x138	cresco6x033	cresco6x074	cresco6x078	cresco6x081	cresco6x065	cresco6x097	cresco6x224							
